Date,Product,Brand,Size,Quantity Sold,Unit Price (₹),Margin (%),Profit (₹),Net Profit (₹),Total Revenue (₹),Tax (GST % ),Tax Amount (₹),Net Tax (₹),Dealer,Stock Availability,Dealer Location
03-03-2023,Flats,Nike,9,17,5740.85,15%,861.13,14639.21,82955.24,12%,688.9,11711.3,Dealer_6,50,Pune
03-03-2023,Sneakers,Nike,7,12,8661.18,15%,1299.18,15590.16,88344,12%,1039.34,12472.08,Dealer_3,88,Mumbai
03-03-2023,Sneakers,Nike,9,36,5694.18,15%,854.13,30748.68,174241.8,12%,683.3,24598.8,Dealer_2,57,Delhi
03-03-2023,Flats,Bata,8,14,3286.14,30%,985.84,13801.76,32204.2,12%,394.34,5520.76,Dealer_2,178,Delhi
03-03-2023,Flats,Nike,7,24,12652.06,15%,1897.81,45547.44,258102,12%,1518.25,36438,Dealer_1,152,Delhi
03-03-2023,Sneakers,Bata,8,29,2309.2,30%,692.76,20090.04,46876.76,12%,277.1,8035.9,Dealer_6,166,Pune
03-03-2023,Sneakers,Bata,7,28,3255.23,30%,976.57,27343.96,63802.48,12%,390.63,10937.64,Dealer_3,112,Mumbai
03-03-2023,Sandals,Bata,9,41,4991.15,30%,1497.35,61391.35,143245.8,12%,598.94,24556.54,Dealer_7,100,Mumbai
03-03-2023,Flats,Paragon,11,25,876.42,40%,350.57,8764.25,13146.25,12%,105.17,2629.25,Dealer_5,56,Haryana
04-03-2023,Flats,Bata,10,10,4803.96,30%,1441.19,14411.9,33627.7,12%,576.48,5764.8,Dealer_1,146,Delhi
04-03-2023,Heels,Paragon,10,29,759.87,40%,303.95,8814.55,13221.68,12%,91.18,2644.22,Dealer_6,110,Pune
04-03-2023,Sandals,Liberty,6,19,2279.13,40%,911.65,17321.35,25982.12,12%,273.5,5196.5,Dealer_1,61,Delhi
04-03-2023,Boots,Woodland,8,33,4750.75,20%,950.15,31354.95,125419.8,12%,570.09,18812.97,Dealer_7,71,Mumbai
04-03-2023,Flats,Nike,9,18,10646.59,15%,1596.99,28745.82,162892.8,12%,1277.59,22996.62,Dealer_3,69,Mumbai
04-03-2023,Flats,Paragon,6,37,2156.11,40%,862.44,31910.28,47865.79,12%,258.73,9573.01,Dealer_2,110,Delhi
04-03-2023,Sandals,Sketchers,8,35,4653.27,25%,1163.32,40716.2,122148.25,12%,558.39,19543.65,Dealer_7,133,Mumbai
04-03-2023,Sandals,Bata,8,24,1298.75,30%,389.63,9351.12,21818.88,12%,155.85,3740.4,Dealer_2,84,Delhi
04-03-2023,Flats,Metro,9,16,1621.64,30%,486.49,7783.84,18162.4,12%,194.6,3113.6,Dealer_2,165,Delhi
04-03-2023,Sandals,Bata,8,17,3143.7,30%,943.11,16032.87,37410.03,12%,377.24,6413.08,Dealer_7,103,Mumbai
05-03-2023,Sandals,Bata,8,17,1361.68,30%,408.5,6944.5,16204.06,12%,163.4,2777.8,Dealer_6,127,Pune
05-03-2023,Heels,Paragon,10,48,600.82,40%,240.33,11535.84,17303.52,12%,72.1,3460.8,Dealer_3,87,Mumbai
05-03-2023,Sneakers,Paragon,7,32,1490.61,40%,596.24,19079.68,28619.84,12%,178.87,5723.84,Dealer_1,126,Delhi
05-03-2023,Sandals,Adidas,6,35,8836.81,15%,1325.52,46393.2,262895.15,12%,1060.42,37114.7,Dealer_6,190,Pune
05-03-2023,Boots,Nike,8,16,12646.76,15%,1897.01,30352.16,171996,12%,1517.61,24281.76,Dealer_2,81,Delhi
05-03-2023,Sneakers,Nike,11,24,4568.58,15%,685.29,16446.96,93198.96,12%,548.23,13157.52,Dealer_3,145,Mumbai
05-03-2023,Flats,Paragon,10,15,1955.81,40%,782.32,11734.8,17602.35,12%,234.7,3520.5,Dealer_2,69,Delhi
05-03-2023,Sneakers,Nike,7,38,12711.58,15%,1906.74,72456.12,410583.92,12%,1525.39,57964.82,Dealer_1,134,Delhi
05-03-2023,Sneakers,Nike,8,13,5015.87,15%,752.38,9780.94,55425.37,12%,601.9,7824.7,Dealer_6,160,Pune
05-03-2023,Heels,Paragon,8,41,573.71,40%,229.48,9408.68,14113.43,12%,68.85,2822.85,Dealer_6,159,Pune
05-03-2023,Sneakers,Bata,7,21,2099.93,30%,629.98,13229.58,30868.95,12%,251.99,5291.79,Dealer_4,88,Haryana
05-03-2023,Sneakers,Paragon,9,49,1114.46,40%,445.78,21843.22,32765.32,12%,133.74,6553.26,Dealer_3,177,Mumbai
05-03-2023,Sandals,Paragon,9,13,719.3,40%,287.72,3740.36,5610.54,12%,86.32,1122.16,Dealer_3,85,Mumbai
06-03-2023,Boots,Paragon,9,25,2076.89,40%,830.76,20769,31153.25,12%,249.23,6230.75,Dealer_6,54,Pune
06-03-2023,Sandals,Paragon,8,40,1861.29,40%,744.52,29780.8,44670.8,12%,223.35,8934,Dealer_4,138,Haryana
06-03-2023,Flats,Woodland,8,34,3622.61,20%,724.52,24633.68,98535.06,12%,434.71,14780.14,Dealer_1,131,Delhi
06-03-2023,Flats,Puma,6,27,1822.25,20%,364.45,9840.15,39360.6,12%,218.67,5904.09,Dealer_4,185,Haryana
06-03-2023,Sandals,Metro,9,24,4895.92,30%,1468.78,35250.72,82251.36,12%,587.51,14100.24,Dealer_2,113,Delhi
06-03-2023,Flats,Puma,8,44,5989.57,20%,1197.91,52708.04,210833.04,12%,718.75,31625,Dealer_7,64,Mumbai
06-03-2023,Flats,Puma,9,34,3451.43,20%,690.29,23469.86,93878.76,12%,414.17,14081.78,Dealer_2,95,Delhi
07-03-2023,Flats,Bata,10,32,4655.92,30%,1396.78,44696.96,104292.48,12%,558.71,17878.72,Dealer_1,140,Delhi
07-03-2023,Flats,Paragon,7,46,2870.92,40%,1148.37,52825.02,79237.3,12%,344.51,15847.46,Dealer_4,188,Haryana
07-03-2023,Sandals,Adidas,9,12,2722.06,15%,408.31,4899.72,27765,12%,326.65,3919.8,Dealer_2,106,Delhi
07-03-2023,Sneakers,Woodland,9,10,3990.4,20%,798.08,7980.8,31923.2,12%,478.85,4788.5,Dealer_6,101,Pune
07-03-2023,Flats,Adidas,8,21,9350.25,15%,1402.54,29453.34,166901.91,12%,1122.03,23562.63,Dealer_3,65,Mumbai
07-03-2023,Sneakers,Adidas,9,19,8194.93,15%,1229.24,23355.56,132348.11,12%,983.39,18684.41,Dealer_6,143,Pune
07-03-2023,Sneakers,Bata,10,35,3344.07,30%,1003.22,35112.7,81929.75,12%,401.29,14045.15,Dealer_3,127,Mumbai
08-03-2023,Sneakers,Adidas,10,37,8334.74,15%,1250.21,46257.77,262127.61,12%,1000.17,37006.29,Dealer_4,131,Haryana
08-03-2023,Sneakers,Paragon,9,49,2467.48,40%,986.99,48362.51,72544.01,12%,296.1,14508.9,Dealer_2,200,Delhi
08-03-2023,Heels,Adidas,8,29,7871.96,15%,1180.79,34242.91,194043.93,12%,944.64,27394.56,Dealer_3,82,Mumbai
08-03-2023,Sneakers,Paragon,6,46,1479,40%,591.6,27213.6,40820.4,12%,177.48,8164.08,Dealer_7,195,Mumbai
08-03-2023,Sneakers,Adidas,9,30,9368.31,15%,1405.25,42157.5,238891.8,12%,1124.2,33726,Dealer_6,106,Pune
08-03-2023,Flats,Paragon,7,41,851.61,40%,340.64,13966.24,20949.77,12%,102.19,4189.79,Dealer_7,69,Mumbai
09-03-2023,Sandals,Bata,7,50,4541.28,30%,1362.38,68119,158945,12%,544.95,27247.5,Dealer_1,7,Delhi
09-03-2023,Sandals,Nike,8,23,5994.49,15%,899.17,20680.91,117192.36,12%,719.34,16544.82,Dealer_1,139,Delhi
09-03-2023,Sandals,Nike,10,10,3577.77,15%,536.67,5366.7,30411,12%,429.33,4293.3,Dealer_4,157,Haryana
09-03-2023,Sneakers,Bata,9,34,2404.92,30%,721.48,24530.32,57236.96,12%,288.59,9812.06,Dealer_3,75,Mumbai
09-03-2023,Heels,Liberty,9,24,906.64,40%,362.66,8703.84,13055.52,12%,108.8,2611.2,Dealer_1,58,Delhi
10-03-2023,Sneakers,Bata,8,16,1296.8,30%,389.04,6224.64,14524.16,12%,155.62,2489.92,Dealer_2,146,Delhi
10-03-2023,Sneakers,Paragon,6,45,2854.59,40%,1141.84,51382.8,77073.75,12%,342.55,15414.75,Dealer_1,136,Delhi
10-03-2023,Flats,Paragon,9,11,1578.31,40%,631.32,6944.52,10416.89,12%,189.4,2083.4,Dealer_6,92,Pune
10-03-2023,Flats,Bata,7,13,1405.03,30%,421.51,5479.63,12785.76,12%,168.6,2191.8,Dealer_2,98,Delhi
10-03-2023,Sandals,Paragon,9,44,1163.16,40%,465.26,20471.44,30707.6,12%,139.58,6141.52,Dealer_3,126,Mumbai
10-03-2023,Boots,Nike,6,35,9861.24,15%,1479.19,51771.65,293371.75,12%,1183.35,41417.25,Dealer_4,14,Haryana
10-03-2023,Sneakers,Bata,6,37,1350.51,30%,405.15,14990.55,34978.32,12%,162.06,5996.22,Dealer_6,172,Pune
10-03-2023,Boots,Nike,6,23,5049.99,15%,757.5,17422.5,98727.27,12%,606,13938,Dealer_3,70,Mumbai
10-03-2023,Sandals,Nike,8,35,8651.33,15%,1297.7,45419.5,257377.05,12%,1038.16,36335.6,Dealer_6,117,Pune
11-03-2023,Flats,Paragon,8,21,1427.55,40%,571.02,11991.42,17987.13,12%,171.31,3597.51,Dealer_3,144,Mumbai
11-03-2023,Sneakers,Bata,6,26,2758.96,30%,827.69,21519.94,50213.02,12%,331.08,8608.08,Dealer_2,107,Delhi
11-03-2023,Heels,Sketchers,9,13,2180.09,25%,545.02,7085.26,21255.91,12%,261.61,3400.93,Dealer_7,74,Mumbai
11-03-2023,Sneakers,Paragon,8,44,1534.97,40%,613.99,27015.56,40523.12,12%,184.2,8104.8,Dealer_7,200,Mumbai
11-03-2023,Boots,Paragon,6,34,2546.01,40%,1018.4,34625.6,51938.74,12%,305.52,10387.68,Dealer_5,187,Haryana
11-03-2023,Flats,Liberty,9,25,1690.66,40%,676.26,16906.5,25360,12%,202.88,5072,Dealer_1,151,Delhi
11-03-2023,Heels,Paragon,6,42,1928.05,40%,771.22,32391.24,48586.86,12%,231.37,9717.54,Dealer_6,196,Pune
11-03-2023,Flats,Paragon,7,17,2873.14,40%,1149.26,19537.42,29305.96,12%,344.78,5861.26,Dealer_4,94,Haryana
11-03-2023,Sneakers,Adidas,7,18,2341.41,15%,351.21,6321.78,35823.6,12%,280.97,5057.46,Dealer_1,161,Delhi
11-03-2023,Boots,Paragon,7,48,1144.72,40%,457.89,21978.72,32967.84,12%,137.37,6593.76,Dealer_7,67,Mumbai
12-03-2023,Sandals,Paragon,8,45,1315.32,40%,526.13,23675.85,35513.55,12%,157.84,7102.8,Dealer_2,183,Delhi
12-03-2023,Sandals,Nike,10,49,10050.91,15%,1507.64,73874.36,418620.23,12%,1206.11,59099.39,Dealer_5,78,Haryana
12-03-2023,Sandals,Adidas,7,46,6703.47,15%,1005.52,46253.92,262105.7,12%,804.42,37003.32,Dealer_7,75,Mumbai
12-03-2023,Sneakers,Paragon,11,16,2464.36,40%,985.74,15771.84,23657.92,12%,295.72,4731.52,Dealer_6,138,Pune
12-03-2023,Sandals,Sketchers,8,41,4074.1,25%,1018.53,41759.73,125278.37,12%,488.89,20044.49,Dealer_4,59,Haryana
12-03-2023,Sneakers,Sketchers,8,19,4282.1,25%,1070.53,20340.07,61019.83,12%,513.85,9763.15,Dealer_6,152,Pune
12-03-2023,Sneakers,Bata,8,25,1197.16,30%,359.15,8978.75,20950.25,12%,143.66,3591.5,Dealer_4,118,Haryana
12-03-2023,Sandals,Nike,8,29,6731.39,15%,1009.71,29281.59,165928.72,12%,807.77,23425.33,Dealer_4,75,Haryana
12-03-2023,Heels,Puma,7,29,6858.21,20%,1371.64,39777.56,159110.53,12%,822.99,23866.71,Dealer_4,132,Haryana
12-03-2023,Sandals,Paragon,8,48,2113.89,40%,845.56,40586.88,60879.84,12%,253.67,12176.16,Dealer_2,163,Delhi
12-03-2023,Boots,Bata,10,41,4037.97,30%,1211.39,49666.99,115889.78,12%,484.56,19866.96,Dealer_3,64,Mumbai
12-03-2023,Flats,Adidas,6,29,7676.56,15%,1151.48,33392.92,189227.32,12%,921.19,26714.51,Dealer_3,84,Mumbai
13-03-2023,Flats,Nike,7,22,13502.17,15%,2025.33,44557.26,252490.48,12%,1620.26,35645.72,Dealer_2,64,Delhi
13-03-2023,Boots,Nike,8,13,14016.37,15%,2102.46,27331.98,154880.83,12%,1681.96,21865.48,Dealer_7,100,Mumbai
13-03-2023,Sandals,Bata,8,42,2587.77,30%,776.33,32605.86,76080.48,12%,310.53,13042.26,Dealer_2,57,Delhi
13-03-2023,Boots,Bata,9,48,2784.41,30%,835.32,40095.36,93556.32,12%,334.13,16038.24,Dealer_4,200,Haryana
13-03-2023,Flats,Bata,8,20,4350.62,30%,1305.19,26103.8,60908.6,12%,522.07,10441.4,Dealer_2,73,Delhi
13-03-2023,Sandals,Nike,8,13,4954.89,15%,743.23,9661.99,54751.58,12%,594.59,7729.67,Dealer_6,104,Pune
13-03-2023,Heels,Puma,10,24,5227.32,20%,1045.46,25091.04,100364.64,12%,627.28,15054.72,Dealer_2,154,Delhi
13-03-2023,Flats,Nike,11,10,8689.17,15%,1303.38,13033.8,73857.9,12%,1042.7,10427,Dealer_2,94,Delhi
14-03-2023,Flats,Nike,7,26,10300.13,15%,1545.02,40170.52,227632.86,12%,1236.02,32136.52,Dealer_3,120,Mumbai
14-03-2023,Sandals,Bata,8,39,2007.99,30%,602.4,23493.6,54818.01,12%,240.96,9397.44,Dealer_4,127,Haryana
14-03-2023,Flats,Woodland,9,35,5506.92,20%,1101.38,38548.3,154193.9,12%,660.83,23129.05,Dealer_1,180,Delhi
14-03-2023,Flats,Bata,9,48,3436.2,30%,1030.86,49481.28,115456.32,12%,412.34,19792.32,Dealer_3,77,Mumbai
14-03-2023,Sandals,Nike,8,27,10687.14,15%,1603.07,43282.89,245269.89,12%,1282.46,34626.42,Dealer_2,116,Delhi
14-03-2023,Flats,Paragon,10,29,970.9,40%,388.36,11262.44,16893.66,12%,116.51,3378.79,Dealer_6,111,Pune
14-03-2023,Sneakers,Paragon,8,30,2201.89,40%,880.76,26422.8,39633.9,12%,264.23,7926.9,Dealer_7,56,Mumbai
14-03-2023,Flats,Liberty,8,26,2767.28,40%,1106.91,28779.66,43169.62,12%,332.07,8633.82,Dealer_3,149,Mumbai
14-03-2023,Flats,Nike,9,46,12792.18,15%,1918.83,88266.18,500174.1,12%,1535.06,70612.76,Dealer_3,106,Mumbai
15-03-2023,Flats,Liberty,10,32,1768.29,40%,707.32,22634.24,33951.04,12%,212.19,6790.08,Dealer_2,192,Delhi
15-03-2023,Sneakers,Reebok,7,40,2767.66,20%,553.53,22141.2,88565.2,12%,332.12,13284.8,Dealer_2,193,Delhi
15-03-2023,Flats,Adidas,10,31,7235.48,15%,1085.32,33644.92,190654.96,12%,868.26,26916.06,Dealer_2,8,Delhi
15-03-2023,Boots,Paragon,8,36,2470.23,40%,988.09,35571.24,53357.04,12%,296.43,10671.48,Dealer_3,145,Mumbai
15-03-2023,Sandals,Paragon,8,39,2628.03,40%,1051.21,40997.19,61495.98,12%,315.36,12299.04,Dealer_4,63,Haryana
15-03-2023,Heels,Paragon,9,47,2860.75,40%,1144.3,53782.1,80673.15,12%,343.29,16134.63,Dealer_1,170,Delhi
15-03-2023,Boots,Woodland,7,34,5179.03,20%,1035.81,35217.54,140869.48,12%,621.48,21130.32,Dealer_5,63,Haryana
15-03-2023,Heels,Adidas,7,22,4741.36,15%,711.2,15646.4,88663.52,12%,568.96,12517.12,Dealer_6,167,Pune
16-03-2023,Sandals,Paragon,7,15,1718.95,40%,687.58,10313.7,15470.55,12%,206.27,3094.05,Dealer_6,95,Pune
16-03-2023,Sandals,Paragon,6,10,1630.13,40%,652.05,6520.5,9780.8,12%,195.62,1956.2,Dealer_2,93,Delhi
16-03-2023,Flats,Metro,7,41,4140.84,30%,1242.25,50932.25,118842.19,12%,496.9,20372.9,Dealer_7,72,Mumbai
16-03-2023,Sneakers,Paragon,8,50,1573.52,40%,629.41,31470.5,47205.5,12%,188.82,9441,Dealer_5,172,Haryana
16-03-2023,Sandals,Nike,6,44,5392.97,15%,808.95,35593.8,201696.88,12%,647.16,28475.04,Dealer_3,53,Mumbai
17-03-2023,Flats,Woodland,7,11,6060.49,20%,1212.1,13333.1,53332.29,12%,727.26,7999.86,Dealer_6,113,Pune
17-03-2023,Boots,Paragon,8,29,822.33,40%,328.93,9538.97,14308.6,12%,98.68,2861.72,Dealer_3,178,Mumbai
17-03-2023,Flats,Reebok,7,14,6943.06,20%,1388.61,19440.54,77762.3,12%,833.17,11664.38,Dealer_3,124,Mumbai
17-03-2023,Sandals,Paragon,9,48,1810.29,40%,724.12,34757.76,52136.16,12%,217.23,10427.04,Dealer_5,84,Haryana
17-03-2023,Sandals,Liberty,8,22,912.21,40%,364.88,8027.36,12041.26,12%,109.47,2408.34,Dealer_3,54,Mumbai
17-03-2023,Boots,Puma,10,18,2661.55,20%,532.31,9581.58,38326.32,12%,319.39,5749.02,Dealer_1,200,Delhi
17-03-2023,Flats,Adidas,7,33,7688.88,15%,1153.33,38059.89,215673.15,12%,922.67,30448.11,Dealer_1,146,Delhi
17-03-2023,Flats,Sketchers,11,44,4304.11,25%,1076.03,47345.32,142035.52,12%,516.49,22725.56,Dealer_6,62,Pune
17-03-2023,Flats,Nike,10,11,3578.82,15%,536.82,5905.02,33462,12%,429.46,4724.06,Dealer_2,156,Delhi
18-03-2023,Sandals,Nike,9,26,8692.76,15%,1303.91,33901.66,192110.1,12%,1043.13,27121.38,Dealer_2,102,Delhi
18-03-2023,Flats,Paragon,10,10,1252.79,40%,501.12,5011.2,7516.7,12%,150.33,1503.3,Dealer_6,75,Pune
18-03-2023,Flats,Woodland,8,49,5633.81,20%,1126.76,55211.24,220845.45,12%,676.06,33126.94,Dealer_2,157,Delhi
18-03-2023,Heels,Nike,9,49,4412.81,15%,661.92,32434.08,183793.61,12%,529.54,25947.46,Dealer_2,77,Delhi
18-03-2023,Sandals,Adidas,9,22,8223.67,15%,1233.55,27138.1,153782.64,12%,986.84,21710.48,Dealer_6,101,Pune
18-03-2023,Sandals,Paragon,8,28,900.93,40%,360.37,10090.36,15135.68,12%,108.11,3027.08,Dealer_6,177,Pune
18-03-2023,Boots,Paragon,9,31,1086.26,40%,434.5,13469.5,20204.56,12%,130.35,4040.85,Dealer_1,72,Delhi
18-03-2023,Sneakers,Paragon,10,41,872.86,40%,349.14,14314.74,21472.52,12%,104.74,4294.34,Dealer_1,180,Delhi
18-03-2023,Sneakers,Paragon,10,16,2761.95,40%,1104.78,17676.48,26514.72,12%,331.43,5302.88,Dealer_6,109,Pune
18-03-2023,Sandals,Reebok,8,39,2300.48,20%,460.1,17943.9,71774.82,12%,276.06,10766.34,Dealer_2,60,Delhi
18-03-2023,Heels,Reebok,8,30,4555.97,20%,911.19,27335.7,109343.4,12%,546.72,16401.6,Dealer_2,74,Delhi
19-03-2023,Sneakers,Adidas,10,20,4629.29,15%,694.39,13887.8,78698,12%,555.51,11110.2,Dealer_4,118,Haryana
19-03-2023,Flats,Nike,8,31,5194.43,15%,779.16,24153.96,136873.37,12%,623.33,19323.23,Dealer_3,152,Mumbai
19-03-2023,Sandals,Sketchers,8,40,5099.55,25%,1274.89,50995.6,152986.4,12%,611.95,24478,Dealer_6,92,Pune
19-03-2023,Sneakers,Adidas,10,13,9852.55,15%,1477.88,19212.44,108870.71,12%,1182.31,15370.03,Dealer_2,76,Delhi
19-03-2023,Sandals,Paragon,9,46,2195.98,40%,878.39,40405.94,60609.14,12%,263.52,12121.92,Dealer_2,147,Delhi
19-03-2023,Flats,Bata,9,11,4450.3,30%,1335.09,14685.99,34267.31,12%,534.04,5874.44,Dealer_7,83,Mumbai
19-03-2023,Sandals,Liberty,7,36,1601.72,40%,640.69,23064.84,34597.08,12%,192.21,6919.56,Dealer_1,116,Delhi
19-03-2023,Flats,Bata,6,43,4070.11,30%,1221.03,52504.29,122510.44,12%,488.41,21001.63,Dealer_6,194,Pune
19-03-2023,Boots,Paragon,8,43,1807.76,40%,723.1,31093.3,46640.38,12%,216.93,9327.99,Dealer_7,74,Mumbai
19-03-2023,Sandals,Paragon,10,25,1704.82,40%,681.93,17048.25,25572.25,12%,204.58,5114.5,Dealer_6,148,Pune
19-03-2023,Sneakers,Paragon,9,13,529.11,40%,211.64,2751.32,4127.11,12%,63.49,825.37,Dealer_2,179,Delhi
19-03-2023,Heels,Liberty,9,20,687.16,40%,274.86,5497.2,8246,12%,82.46,1649.2,Dealer_4,132,Haryana
20-03-2023,Sandals,Sketchers,6,42,2502.18,25%,625.55,26273.1,78818.46,12%,300.26,12610.92,Dealer_6,146,Pune
20-03-2023,Sandals,Puma,6,39,3943.04,20%,788.61,30755.79,123022.77,12%,473.16,18453.24,Dealer_6,164,Pune
20-03-2023,Sneakers,Liberty,8,30,796.77,40%,318.71,9561.3,14341.8,12%,95.61,2868.3,Dealer_4,54,Haryana
20-03-2023,Sneakers,Bata,8,12,3228.52,30%,968.56,11622.72,27119.52,12%,387.42,4649.04,Dealer_1,73,Delhi
20-03-2023,Flats,Paragon,9,50,1261.49,40%,504.6,25230,37844.5,12%,151.38,7569,Dealer_6,193,Pune
21-03-2023,Flats,Paragon,8,31,1408.36,40%,563.34,17463.54,26195.62,12%,169,5239,Dealer_1,107,Delhi
21-03-2023,Heels,Bata,8,45,4069.67,30%,1220.9,54940.5,128194.65,12%,488.36,21976.2,Dealer_6,171,Pune
21-03-2023,Flats,Paragon,8,38,785.06,40%,314.02,11932.76,17899.52,12%,94.21,3579.98,Dealer_7,106,Mumbai
21-03-2023,Sneakers,Bata,8,50,4857.73,30%,1457.32,72866,170020.5,12%,582.93,29146.5,Dealer_3,190,Mumbai
21-03-2023,Flats,Bata,10,16,1183.11,30%,354.93,5678.88,13250.88,12%,141.97,2271.52,Dealer_2,176,Delhi
21-03-2023,Sneakers,Paragon,10,36,767.4,40%,306.96,11050.56,16575.84,12%,92.09,3315.24,Dealer_6,100,Pune
21-03-2023,Boots,Nike,8,23,8484.55,15%,1272.68,29271.64,165873.01,12%,1018.15,23417.45,Dealer_2,136,Delhi
22-03-2023,Flats,Bata,6,50,4349.86,30%,1304.96,65248,152245,12%,521.98,26099,Dealer_6,81,Pune
22-03-2023,Flats,Bata,8,47,4824.76,30%,1447.43,68029.21,158734.51,12%,578.97,27211.59,Dealer_2,177,Delhi
22-03-2023,Sneakers,Woodland,10,13,5319.36,20%,1063.87,13830.31,55321.37,12%,638.32,8298.16,Dealer_5,199,Haryana
22-03-2023,Sandals,Woodland,11,21,6150.91,20%,1230.18,25833.78,103335.33,12%,738.11,15500.31,Dealer_2,82,Delhi
23-03-2023,Sandals,Paragon,9,48,2706.74,40%,1082.7,51969.6,77953.92,12%,324.81,15590.88,Dealer_6,148,Pune
23-03-2023,Sandals,Paragon,10,25,1183.99,40%,473.6,11840,17759.75,12%,142.08,3552,Dealer_3,93,Mumbai
23-03-2023,Sandals,Adidas,7,36,6820.2,15%,1023.03,36829.08,208698.12,12%,818.42,29463.12,Dealer_7,181,Mumbai
23-03-2023,Sandals,Paragon,9,30,2279.69,40%,911.88,27356.4,41034.3,12%,273.56,8206.8,Dealer_6,105,Pune
24-03-2023,Boots,Paragon,10,28,2216.53,40%,886.61,24825.08,37237.76,12%,265.98,7447.44,Dealer_6,83,Pune
24-03-2023,Flats,Paragon,7,42,1856.23,40%,742.49,31184.58,46777.08,12%,222.75,9355.5,Dealer_6,132,Pune
24-03-2023,Flats,Nike,11,32,9747.36,15%,1462.1,46787.2,265128.32,12%,1169.68,37429.76,Dealer_6,196,Pune
24-03-2023,Flats,Paragon,8,44,1214.82,40%,485.93,21380.92,32071.16,12%,145.78,6414.32,Dealer_5,53,Haryana
24-03-2023,Flats,Nike,6,34,4743.92,15%,711.59,24194.06,137099.22,12%,569.27,19355.18,Dealer_6,64,Pune
24-03-2023,Boots,Sketchers,11,20,5925.9,25%,1481.48,29629.6,88888.4,12%,711.11,14222.2,Dealer_6,114,Pune
24-03-2023,Sneakers,Nike,10,28,5448.01,15%,817.2,22881.6,129662.68,12%,653.76,18305.28,Dealer_6,58,Pune
24-03-2023,Sandals,Bata,7,49,4472.14,30%,1341.64,65740.36,153394.5,12%,536.66,26296.34,Dealer_7,193,Mumbai
25-03-2023,Flats,Paragon,9,34,1093.99,40%,437.6,14878.4,22317.26,12%,131.28,4463.52,Dealer_7,123,Mumbai
25-03-2023,Flats,Paragon,6,34,1468.89,40%,587.56,19977.04,29965.22,12%,176.27,5993.18,Dealer_6,130,Pune
25-03-2023,Flats,Nike,6,26,5437.05,15%,815.56,21204.56,120158.74,12%,652.45,16963.7,Dealer_7,163,Mumbai
25-03-2023,Heels,Puma,10,33,5653.09,20%,1130.62,37310.46,149241.51,12%,678.37,22386.21,Dealer_6,100,Pune
25-03-2023,Flats,Paragon,7,28,1622.04,40%,648.82,18166.96,27250.16,12%,194.64,5449.92,Dealer_6,69,Pune
25-03-2023,Sneakers,Adidas,10,42,2954.83,15%,443.22,18615.24,105487.62,12%,354.58,14892.36,Dealer_1,159,Delhi
25-03-2023,Sandals,Paragon,8,18,902.32,40%,360.93,6496.74,9745.02,12%,108.28,1949.04,Dealer_2,51,Delhi
25-03-2023,Sandals,Bata,10,19,1159.76,30%,347.93,6610.67,15424.77,12%,139.17,2644.23,Dealer_3,63,Mumbai
25-03-2023,Flats,Paragon,9,29,1726.38,40%,690.55,20025.95,30039.07,12%,207.17,6007.93,Dealer_6,190,Pune
25-03-2023,Sandals,Nike,10,30,9304.74,15%,1395.71,41871.3,237270.9,12%,1116.57,33497.1,Dealer_2,183,Delhi
26-03-2023,Flats,Woodland,7,36,5258.48,20%,1051.7,37861.2,151444.08,12%,631.02,22716.72,Dealer_3,73,Mumbai
26-03-2023,Sandals,Puma,7,31,3320.87,20%,664.17,20589.27,82357.7,12%,398.5,12353.5,Dealer_3,105,Mumbai
26-03-2023,Flats,Paragon,9,40,2991.58,40%,1196.63,47865.2,71798,12%,358.99,14359.6,Dealer_7,3,Mumbai
26-03-2023,Sneakers,Paragon,8,38,1100.87,40%,440.35,16733.3,25099.76,12%,132.1,5019.8,Dealer_6,112,Pune
26-03-2023,Sneakers,Paragon,8,34,2789.83,40%,1115.93,37941.62,56912.6,12%,334.78,11382.52,Dealer_2,148,Delhi
26-03-2023,Sandals,Paragon,10,28,561.76,40%,224.7,6291.6,9437.68,12%,67.41,1887.48,Dealer_6,145,Pune
26-03-2023,Flats,Woodland,8,41,2263.11,20%,452.62,18557.42,74230.09,12%,271.57,11134.37,Dealer_6,99,Pune
26-03-2023,Sandals,Woodland,6,16,3004.37,20%,600.87,9613.92,38456,12%,360.52,5768.32,Dealer_7,187,Mumbai
26-03-2023,Flats,Nike,10,14,5529.38,15%,829.41,11611.74,65799.58,12%,663.53,9289.42,Dealer_6,104,Pune
26-03-2023,Heels,Paragon,8,16,1013.95,40%,405.58,6489.28,9733.92,12%,121.67,1946.72,Dealer_7,161,Mumbai
26-03-2023,Flats,Nike,10,19,3285.04,15%,492.76,9362.44,53053.32,12%,394.2,7489.8,Dealer_7,134,Mumbai
26-03-2023,Sneakers,Nike,6,13,5135.91,15%,770.39,10015.07,56751.76,12%,616.31,8012.03,Dealer_2,192,Delhi
27-03-2023,Flats,Puma,8,36,3634.18,20%,726.84,26166.24,104664.24,12%,436.1,15699.6,Dealer_6,153,Pune
27-03-2023,Sandals,Bata,6,34,3693.19,30%,1107.96,37670.64,87897.82,12%,443.18,15068.12,Dealer_6,51,Pune
27-03-2023,Flats,Paragon,9,14,2389.9,40%,955.96,13383.44,20075.16,12%,286.79,4015.06,Dealer_6,61,Pune
